asin;name;openbid;auction_duration;unixEndDate;endDate;bidders;bids
374;Unlocked Samsung Galaxy A51 5G A516U 128GB AT&T GSM Phone (Read Description);$0.99;5 days;1620493283.0;9 May 2021 at 1:01:23pm PDT;13.0;55.0
2833;FOUR TESTED GSM UNLOCKED BLACK AT&T APPLE iPhone 7 32GB A1778 PHONES R180P;$0.99;10 days;1620598173.0;10 May 2021 at 6:09:33pm PDT;11.0;49.0
1011;EXCLUSIVE UNIQUE GOLD VIP MOBILE PHONE NUMBER SIM CARD BUSINESS PLATINUM SIMCARD;GBP 1.00;7 days;1620150617.0;5 May 2021 at 1:50:17pm PDT;8.0;26.0
2589;SAMSUNG Galaxy A12 - 64 GB White Unlocked - Brand New (Sealed);GBP 50.00;3 days;1619412909.0;26 Apr 2021 at 12:55:09pm PDT;12.0;22.0
2573;Very CLEAN: Apple iPhone XS - 512GB-Space Grey (without Simlock);EUR 1.00;10 days;1619925233.0;2 May 2021 at 11:13:53am PDT;13.0;69.0
2679;Vintage Atari Video Computer System CX2600-6 Switches-6 Controllers-3 Games;$10.00;7 days;1621644826.0;22 May 2021 at 8:53:46am PDT;7.0;34.0
2562;apple iphone xr 64gb unlocked used;GBP 0.99;7 days;1619140774.0;23 Apr 2021 at 9:19:34am PDT;7.0;40.0
1277;Iphone XS max white unclocked��;AU $450.00;7 days;1620707117.0;11 May 2021 at 12:25:17pm PDT;12.0;31.0
2647;Silent Hill: Downpour (Sony PlayStation 3 2012) Rare & Complete;$22.00;7 days;1620673223.0;11 May 2021 at 3:00:23am PDT;6.0;15.0
644;PS4 Games Collection (Nier Replicant Nier Automata...) - VGC;EUR 5.00;5 days;1620862693.0;13 May 2021 at 7:38:13am PDT;10.0;39.0
2626;AS IS IC LOCKED Apple iPhone 7 A1778 32GB Black iPhone 120;$16.10;7 days;1620520843.0;9 May 2021 at 8:40:43am PDT;7.0;22.0
2290;Apple iPhone X - 256GB - Gray (Unlocked) (Read Description) CC1019;$1.00;1 day;1621878517.0;25 May 2021 at 1:48:37pm PDT;22.0;62.0
346;Xiaomi Mi 9T Pro - 128GB - Black (Unlocked) Smartphone;$1.00;7 days;1620170032.0;5 May 2021 at 7:13:52am PDT;19.0;52.0
317;Nintendo 64 Super Mario 64 Video Game;$4.99;7 days;1619495859.0;27 Apr 2021 at 11:57:39am PDT;6.0;16.0
861;Samsung Galaxy S8 Active SM-G892A - 64GB - Meteor Gray (GSM Unlocked) Smartphone;$0.99;5 days;1619918701.0;2 May 2021 at 9:25:01am PDT;12.0;40.0
395;\ Nintendo Game Boy Advance SP AGS-101 Blue #172;EUR 9.99;5 days;1620862325.0;13 May 2021 at 7:32:05am PDT;9.0;31.0
2828;iPhone XR 64GB (Unlocked)Cracked Back / IC Locked For Parts;$40.00;7 days;1620090561.0;4 May 2021 at 9:09:21am PDT;14.0;41.0
2597;The Legend of Zelda: Breath of the Wild (Switch 2017);GBP 0.99;7 days;1619978241.0;3 May 2021 at 1:57:21am PDT;8.0;16.0
1524;Samsung Galaxy S5 SM-G900F - 16GB - Black (Unlocked) Smartphone;GBP 0.01;5 days;1619634891.0;29 Apr 2021 at 2:34:51am PDT;6.0;21.0
2989;Folklore PlayStation 3 Rare PS3 2007 Game PAL Complete;GBP 12.70;7 days;1621657840.0;22 May 2021 at 12:30:40pm PDT;7.0;18.0
2837;Sony Playstation 4 Pro Game Console 1TB with Dual Shock 4 Controller - Black;GBP 47.00;7 days;1620437812.0;8 May 2021 at 9:36:52am PDT;9.0;29.0
1092;Apple iPhone 11 - 64GB - Black as is for parts or not working;AU $40.00;5 days;1621634236.0;22 May 2021 at 5:57:16pm PDT;7.0;26.0
1653;GOLD MEMORABLE EASY REMEMBER VIP MOBILE PHONE NUMBER PLATINUM SIM 777 888 8888;GBP 0.99;7 days;1619976128.0;3 May 2021 at 1:22:08pm PDT;11.0;43.0
873;Samsung Galaxy A51 128 GB Prism Crush Black;EUR 150.00;3 days;1619910715.0;2 May 2021 at 7:11:55am PDT;6.0;15.0
380;Vandal Hearts 2 Sony Playstation 1 CIB;$36.00;7 days;1620779793.0;12 May 2021 at 8:36:33am PDT;7.0;24.0
2919;Apple iPhone 6S Plus 16GB Gold;$0.99;3 days;1620252262.0;6 May 2021 at 6:04:22am PDT;12.0;30.0
1539;iPhone X 64GB Unlocked - Silver;GBP 20.00;5 days;1619892081.0;2 May 2021 at 2:01:21am PDT;10.0;29.0
2661;Apple iPhone 8 - 64GB - Space Grey - Unlocked ;GBP 9.99;7 days;1621034519.0;15 May 2021 at 7:21:59am PDT;9.0;28.0
2178;Google Pixel 2 64GB Just Black (Unlocked) - Great condition w/ box+charger+case;$38.00;7 days;1620179888.0;5 May 2021 at 9:58:08am PDT;5.0;28.0
357;Pokemon Y (3DS 2013);GBP 6.00;5 days;1620339572.0;7 May 2021 at 6:19:32am PDT;7.0;17.0
1448;Bravely Default II/2 Nintendo Switch NEW & OVP;EUR 1.00;7 days;1620858497.0;13 May 2021 at 6:28:17am PDT;12.0;23.0
615;Vintage 80s matte TREND Scratch & Sniff stickers - blueberry - mint sealed;$11.00;10 days;1620701856.0;11 May 2021 at 10:57:36am PDT;6.0;18.0
826;Apple iPhone 6s Plus - 128GB - Silver;GBP 45.00;5 days;1619146203.0;23 Apr 2021 at 10:50:03am PDT;11.0;26.0
1381;Xiaomi MI 10 Pro 5G Smartphone 256GB 8GB Dual Sim Solstice Grey;EUR 1.00;5 days;1619922424.0;2 May 2021 at 10:27:04am PDT;22.0;76.0
162;Metal Walker (Nintendo Game Boy Color 2001) WATA 9.2 A++;$0.99;7 days;1619903702.0;2 May 2021 at 5:15:02pm PDT;10.0;23.0
412;LG G5 gray - 32GB - silver -N2- GSM unlocked ;$29.99;1 day;1621124797.0;16 May 2021 at 8:26:37am PDT;5.0;14.0
2688;Samsung Galaxy S10 SM-G973 - 128GB - Prism Green (O2) (Single SIM);GBP 60.00;3 days;1621533153.0;21 May 2021 at 1:52:33pm PDT;4.0;13.0
2348;RARE COLLECTIBLE NINTENDO GAMECUBE GAME - CHI BI - RO BO ! COMPLETE IN CASE;GBP 6.99;7 days;1620619274.0;10 May 2021 at 12:01:14pm PDT;10.0;32.0
1973;LOT of 4 LG Velvet 5G LM-G900 GSM Unlocked Smartphones Assorted Carriers A144L;$0.01;5 days;1620014124.0;3 May 2021 at 11:55:24am PDT;15.0;51.0
2531;Ps3 With Games And Controller good condition;GBP 0.99;5 days;1620344360.0;7 May 2021 at 7:39:20am PDT;9.0;30.0
1856;Limited Run Games Trading Card Lot of 24!! LRG;$9.99;7 days;1620614076.0;10 May 2021 at 10:34:36am PDT;6.0;31.0
1103;Nintendo 64 console bundle amazing condition 6 games zelda pokemon 007 ;GBP 62.50;1 day;1621997607.0;26 May 2021 at 10:53:27am PDT;6.0;17.0
2156;Huawei Y6 (2019) - 32GB - Sapphire Blue (O2) (Single SIM);GBP 26.60;7 days;1619915674.0;2 May 2021 at 8:34:34am PDT;4.0;12.0
